,No.,Card name,Rarity
0,001/198,Pineco,Common
1,002/198,Heracross,Uncommon
2,003/198,Shroomish,Common
3,004/198,Breloom,Uncommon
4,005/198,Cacnea,Common
5,006/198,Cacturne,Uncommon
6,007/198,Tropius,Common
7,008/198,Scatterbug,Common
8,009/198,Spewpa,Common
9,010/198,Vivillon,Uncommon
10,011/198,Skiddo,Common
11,012/198,Gogoat,Common
12,013/198,Sprigatito,Common
13,014/198,Floragato,Uncommon
14,015/198,Meowscarada,Rare
15,016/198,Tarountula,Common
16,017/198,Tarountula,Common
17,018/198,Tarountula,Common
18,019/198,Spidops ex,Double Rare
19,020/198,Smoliv,Common
20,021/198,Smoliv,Common
21,022/198,Dolliv,Common
22,023/198,Arboliva,Rare
23,024/198,Toedscool,Common
24,025/198,Toedscool,Common
25,026/198,Toedscruel,Uncommon
26,027/198,Capsakid,Common
27,028/198,Capsakid,Common
28,029/198,Scovillain,Uncommon
29,030/198,Growlithe,Common
30,031/198,Growlithe,Common
31,032/198,Arcanine ex,Double Rare
32,033/198,Houndour,Common
33,034/198,Houndoom,Common
34,035/198,Torkoal,Uncommon
35,036/198,Fuecoco,Common
36,037/198,Crocalor,Uncommon
37,038/198,Skeledirge,Rare
38,039/198,Charcadet,Common
39,040/198,Charcadet,Common
40,041/198,Armarouge,Rare
41,042/198,Slowpoke,Common
42,043/198,Slowbro,Rare
43,044/198,Magikarp,Common
44,045/198,Gyarados ex,Double Rare
45,046/198,Buizel,Common
46,047/198,Floatzel,Uncommon
47,048/198,Alomomola,Common
48,049/198,Clauncher,Common
49,050/198,Clawitzer,Common
50,051/198,Bruxish,Common
51,052/198,Quaxly,Common
52,053/198,Quaxwell,Uncommon
53,054/198,Quaquaval,Rare
54,055/198,Wiglett,Common
55,056/198,Wiglett,Common
56,057/198,Wugtrio,Uncommon
57,058/198,Cetoddle,Common
58,059/198,Cetoddle,Common
59,060/198,Cetitan,Uncommon
60,061/198,Dondozo,Rare
61,062/198,Tatsugiri,Uncommon
62,063/198,Magnemite,Common
63,064/198,Magneton,Common
64,065/198,Magnezone ex,Double Rare
65,066/198,Mareep,Common
66,067/198,Flaaffy,Uncommon
67,068/198,Pachirisu,Uncommon
68,069/198,Rotom,Common
69,070/198,Rotom,Common
70,071/198,Toxel,Common
71,072/198,Toxtricity,Uncommon
72,073/198,Pawmi,Common
73,074/198,Pawmi,Common
74,075/198,Pawmo,Common
75,076/198,Pawmot,Rare
76,077/198,Wattrel,Common
77,078/198,Wattrel,Common
78,079/198,Kilowattrel,Uncommon
79,080/198,Miraidon,Rare
80,081/198,Miraidon ex,Double Rare
81,082/198,Drowzee,Common
82,083/198,Hypno,Uncommon
83,084/198,Ralts,Common
84,085/198,Kirlia,Common
85,086/198,Gardevoir ex,Double Rare
86,087/198,Shuppet,Common
87,088/198,Banette ex,Double Rare
88,089/198,Drifloon,Common
89,090/198,Drifblim,Uncommon
90,091/198,Flabébé,Common
91,092/198,Floette,Common
92,093/198,Florges,Uncommon
93,094/198,Dedenne,Common
94,095/198,Dedenne,Common
95,096/198,Klefki,Rare
96,097/198,Fidough,Common
97,098/198,Fidough,Common
98,099/198,Dachsbun,Uncommon
99,100/198,Flittle,Common
100,101/198,Flittle,Common
101,102/198,Flittle,Common
102,103/198,Espathra,Uncommon
103,104/198,Greavard,Common
104,105/198,Greavard,Common
105,106/198,Houndstone,Rare
106,107/198,Mankey,Common
107,108/198,Primeape,Common
108,109/198,Annihilape,Rare
109,110/198,Meditite,Common
