,No.,Card name,Rarity
0,001/182,Surskit,Common
1,002/182,Masquerain,Uncommon
2,003/182,Froslass ex,Double Rare
3,004/182,Pansage,Common
4,005/182,Simisage,Uncommon
5,006/182,Dwebble,Common
6,007/182,Crustle,Common
7,008/182,Bounsweet,Common
8,009/182,Steenee,Uncommon
9,010/182,Blipbug,Common
10,011/182,Dottler,Common
11,012/182,Orbeetle,Uncommon
12,013/182,Nymble,Common
13,014/182,Nymble,Common
14,015/182,Toedscool,Common
15,016/182,Toedscool,Common
16,017/182,Toedscruel,Uncommon
17,018/182,Wo-Chien,Rare
18,019/182,Magby,Common
19,020/182,Pansear,Common
20,021/182,Simisear,Uncommon
21,022/182,Volcanion,Rare
22,023/182,Fuecoco,Common
23,024/182,Crocalor,Uncommon
24,025/182,Charcadet,Common
25,026/182,Charcadet,Common
26,027/182,Armarouge ex,Double Rare
27,028/182,Iron Moth,Rare
28,029/182,Chi-Yu,Rare
29,030/182,Horsea,Common
30,031/182,Seadra,Common
31,032/182,Kingdra,Rare
32,033/182,Remoraid,Common
33,034/182,Octillery,Common
34,035/182,Feebas,Common
35,036/182,Milotic,Rare
36,037/182,Snorunt,Common
37,038/182,Garchomp ex,Double Rare
38,039/182,Mantyke,Common
39,040/182,Palkia,Rare
40,041/182,Panpour,Common
41,042/182,Simipour,Uncommon
42,043/182,Vanillite,Common
43,044/182,Vanillish,Common
44,045/182,Vanilluxe,Uncommon
45,046/182,Tsareena ex,Double Rare
46,047/182,Wimpod,Common
47,048/182,Wimpod,Common
48,049/182,Golisopod,Rare
49,050/182,Golisopod ex,Double Rare
50,051/182,Wiglett,Common
51,052/182,Wiglett,Common
52,053/182,Wugtrio,Uncommon
53,054/182,Veluza,Uncommon
54,055/182,Dondozo,Uncommon
55,056/182,Iron Bundle,Uncommon
56,057/182,Chien-Pao,Rare
57,058/182,Mewtwo ex,Double Rare
58,059/182,Elekid,Common
59,060/182,Plusle,Common
60,061/182,Minun,Common
61,062/182,Blitzle,Common
62,063/182,Zebstrika,Uncommon
63,064/182,Joltik,Common
64,065/182,Galvantula,Common
65,066/182,Zekrom,Rare
66,067/182,Oricorio,Common
67,068/182,Tapu Koko ex,Double Rare
68,069/182,Toxel,Common
69,070/182,Iron Hands ex,Double Rare
70,071/182,Natu,Common
71,072/182,Xatu,Rare
72,073/182,Latios,Rare
73,074/182,Deoxys,Rare
74,075/182,Yamask,Common
75,076/182,Cofagrigus ex,Double Rare
76,077/182,Pumpkaboo,Common
77,078/182,Gourgeist,Uncommon
78,079/182,Flittle,Common
79,080/182,Flittle,Common
80,081/182,Espathra,Rare
81,082/182,Tinkatink,Common
82,083/182,Tinkatink,Common
83,084/182,Tinkatuff,Common
84,085/182,Tinkaton,Uncommon
85,086/182,Scream Tail,Uncommon
86,087/182,Gimmighoul,Common
87,088/182,Gimmighoul,Common
88,089/182,Iron Valiant ex,Double Rare
89,090/182,Onix,Common
90,091/182,Gligar,Common
91,092/182,Gliscor,Uncommon
92,093/182,Groudon,Rare
93,094/182,Gible,Common
94,095/182,Gabite,Uncommon
95,096/182,Mienfoo,Common
96,097/182,Mienshao,Uncommon
97,098/182,Hoopa ex,Double Rare
98,099/182,Minior,Uncommon
99,100/182,Toxtricity ex,Double Rare
100,101/182,Nacli,Common
101,102/182,Nacli,Common
102,103/182,Naclstack,Common
103,104/182,Garganacl,Rare
104,105/182,Klawf,Uncommon
105,106/182,Flamigo,Common
106,107/182,Slither Wing,Uncommon
107,108/182,Sandy Shocks ex,Double Rare
108,109/182,Ting-Lu,Rare
109,110/182,Zubat,Common
110,111/182,Golbat,Common
111,112/182,Crobat,Uncommon
112,113/182,Absol,Uncommon
113,114/182,Purrloin,Common
114,115/182,Liepard,Common
115,116/182,Trubbish,Common
116,117/182,Garbodor,Uncommon
117,118/182,Yveltal,Rare
118,119/182,Nickit,Common
119,120/182,Thievul,Rare
120,121/182,Morpeko,Rare
121,122/182,Lokix,Rare
122,123/182,Brute Bonnet,Rare
123,124/182,Roaring Moon ex,Double Rare
124,125/182,Steelix,Rare
125,126/182,Jirachi,Common
126,127/182,Ferroseed,Common
127,128/182,Ferrothorn,Uncommon
128,129/182,Durant,Uncommon
129,130/182,Honedge,Common
130,131/182,Honedge,Common
131,132/182,Doublade,Common
132,133/182,Doublade,Common
133,134/182,Aegislash,Rare
134,135/182,Aegislash ex,Double Rare
135,136/182,Zacian,Rare
136,137/182,Skeledirge ex,Double Rare
137,138/182,Orthworm,Uncommon
138,139/182,Gholdengo ex,Double Rare
139,140/182,Altaria ex,Double Rare
140,141/182,Tatsugiri,Uncommon
141,142/182,Porygon,Common
142,143/182,Porygon2,Common
143,144/182,Porygon-Z,Rare
144,145/182,Aipom,Common
145,146/182,Ambipom,Uncommon
146,147/182,Miltank,Common
147,148/182,Whismur,Common
148,149/182,Loudred,Common
149,150/182,Exploud,Uncommon
150,151/182,Spinda,Common
151,152/182,Swablu,Common
152,153/182,Tandemaus,Common
153,154/182,Tandemaus,Common
154,155/182,Maushold ex,Double Rare
155,156/182,Bombirdier ex,Double Rare
156,157/182,Cyclizar,Uncommon
157,158/182,Iron Jugulis,Rare
158,159/182,Ancient Booster Energy Capsule,Uncommon
159,160/182,Counter Catcher,Uncommon
160,161/182,Cursed Duster,Uncommon
161,162/182,Defiance Vest,Uncommon
162,163/182,Earthen Vessel,Uncommon
163,164/182,Future Booster Energy Capsule,Uncommon
164,165/182,Larry,Common
165,166/182,Luxurious Cape,Uncommon
166,167/182,Mela,Uncommon
167,168/182,Norman,Uncommon
168,169/182,Parasol Lady,Common
169,170/182,Professor Sada's Vitality,Uncommon
170,171/182,Professor Turo's Scenario,Uncommon
171,172/182,Rika,Uncommon
172,173/182,Roark,Uncommon
173,174/182,Shauntal,Uncommon
174,175/182,Snorlax Doll,Uncommon
175,176/182,Technical Machine: Blindside,Uncommon
176,177/182,Technical Machine: Devolution,Uncommon
177,178/182,Technical Machine: Evolution,Uncommon
178,179/182,Technical Machine: Turbo Energize,Uncommon
179,180/182,Techno Radar,Uncommon
180,181/182,Tulip,Uncommon
181,182/182,Medical Energy,Uncommon
182,183/182,Crustle,Illustration Rare
183,184/182,Dottler,Illustration Rare
184,185/182,Toedscruel,Illustration Rare
185,186/182,Magby,Illustration Rare
186,187/182,Iron Moth,Illustration Rare
187,188/182,Snorunt,Illustration Rare
188,189/182,Mantyke,Illustration Rare
189,190/182,Vanillish,Illustration Rare
190,191/182,Wimpod,Illustration Rare
191,192/182,Veluza,Illustration Rare
192,193/182,Plusle,Illustration Rare
193,194/182,Minun,Illustration Rare
194,195/182,Blitzle,Illustration Rare
195,196/182,Joltik,Illustration Rare
196,197/182,Espathra,Illustration Rare
197,198/182,Gimmighoul,Illustration Rare
198,199/182,Groudon,Illustration Rare
199,200/182,Mienshao,Illustration Rare
200,201/182,Minior,Illustration Rare
201,202/182,Garganacl,Illustration Rare
202,203/182,Slither Wing,Illustration Rare
203,204/182,Garbodor,Illustration Rare
204,205/182,Yveltal,Illustration Rare
205,206/182,Morpeko,Illustration Rare
206,207/182,Brute Bonnet,Illustration Rare
207,208/182,Steelix,Illustration Rare
208,209/182,Ferrothorn,Illustration Rare
209,210/182,Aegislash,Illustration Rare
210,211/182,Aipom,Illustration Rare
211,212/182,Loudred,Illustration Rare
212,213/182,Swablu,Illustration Rare
213,214/182,Porygon-Z,Illustration Rare
214,215/182,Cyclizar,Illustration Rare
215,216/182,Iron Jugulis,Illustration Rare
216,217/182,Froslass ex,Ultra Rare
217,218/182,Armarouge ex,Ultra Rare
