No.,Card name,Rarity
1,Pineco,Common
2,Heracross,Uncommon
3,Shroomish,Common
4,Breloom,Uncommon
5,Cacnea,Common
6,Cacturne,Uncommon
7,Tropius,Common
8,Scatterbug,Common
9,Spewpa,Common
10,Vivillon,Uncommon
11,Skiddo,Common
12,Gogoat,Common
13,Sprigatito,Common
14,Floragato,Uncommon
15,Meowscarada,Rare
16,Tarountula,Common
17,Tarountula,Common
18,Tarountula,Common
19,Spidops ex,Double Rare
20,Smoliv,Common
21,Smoliv,Common
22,Dolliv,Common
23,Arboliva,Rare
24,Toedscool,Common
25,Toedscool,Common
26,Toedscruel,Uncommon
27,Capsakid,Common
28,Capsakid,Common
29,Scovillain,Uncommon
30,Growlithe,Common
31,Growlithe,Common
32,Arcanine ex,Double Rare
33,Houndour,Common
34,Houndoom,Common
35,Torkoal,Uncommon
36,Fuecoco,Common
37,Crocalor,Uncommon
38,Skeledirge,Rare
39,Charcadet,Common
40,Charcadet,Common
41,Armarouge,Rare
42,Slowpoke,Common
43,Slowbro,Rare
44,Magikarp,Common
45,Gyarados ex,Double Rare
46,Buizel,Common
47,Floatzel,Uncommon
48,Alomomola,Common
49,Clauncher,Common
50,Clawitzer,Common
51,Bruxish,Common
52,Quaxly,Common
53,Quaxwell,Uncommon
54,Quaquaval,Rare
55,Wiglett,Common
56,Wiglett,Common
57,Wugtrio,Uncommon
58,Cetoddle,Common
59,Cetoddle,Common
60,Cetitan,Uncommon
61,Dondozo,Rare
62,Tatsugiri,Uncommon
63,Magnemite,Common
64,Magneton,Common
65,Magnezone ex,Double Rare
66,Mareep,Common
67,Flaaffy,Uncommon
68,Pachirisu,Uncommon
69,Rotom,Common
70,Rotom,Common
71,Toxel,Common
72,Toxtricity,Uncommon
73,Pawmi,Common
74,Pawmi,Common
75,Pawmo,Common
76,Pawmot,Rare
77,Wattrel,Common
78,Wattrel,Common
79,Kilowattrel,Uncommon
80,Miraidon,Rare
81,Miraidon ex,Double Rare
82,Drowzee,Common
83,Hypno,Uncommon
84,Ralts,Common
85,Kirlia,Common
86,Gardevoir ex,Double Rare
87,Shuppet,Common
88,Banette ex,Double Rare
89,Drifloon,Common
90,Drifblim,Uncommon
91,Flabébé,Common
92,Floette,Common
93,Florges,Uncommon
94,Dedenne,Common
95,Dedenne,Common
96,Klefki,Rare
97,Fidough,Common
98,Fidough,Common
