No.,Card name,Rarity
1,Hoppip,Common
2,Skiploom,Uncommon
3,Jumpluff,Rare
4,Pineco,Common
5,Forretress ex,Double Rare
6,Heracross,Uncommon
7,Tropius,Common
8,Combee,Common
9,Vespiquen,Uncommon
10,Snover,Common
11,Abomasnow,Rare
12,Sprigatito,Common
13,Sprigatito,Common
14,Floragato,Uncommon
15,Meowscarada ex,Double Rare
16,Tarountula,Common
17,Tarountula,Common
18,Spidops,Uncommon
19,Nymble,Common
20,Nymble,Common
21,Lokix,Rare
22,Bramblin,Common
23,Bramblin,Common
24,Brambleghast,Uncommon
25,Rellor,Common
26,Rellor,Common
27,Wo-Chien ex,Double Rare
28,Paldean Tauros,Uncommon
29,Fletchinder,Uncommon
30,Talonflame,Uncommon
31,Litleo,Common
32,Pyroar,Uncommon
33,Oricorio,Rare
34,Fuecoco,Common
35,Fuecoco,Common
36,Crocalor,Uncommon
37,Skeledirge ex,Double Rare
38,Charcadet,Common
39,Charcadet,Common
40,Chi-Yu ex,Double Rare
41,Paldean Tauros,Uncommon
42,Magikarp,Common
43,Gyarados,Rare
44,Marill,Common
45,Azumarill,Uncommon
46,Delibird,Common
47,Luvdisc,Common
48,Eiscue,Uncommon
49,Quaxly,Common
50,Quaxly,Common
51,Quaxwell,Uncommon
52,Quaquaval ex,Double Rare
53,Cetoddle,Common
54,Cetoddle,Common
55,Cetitan,Uncommon
56,Veluza,Rare
57,Frigibax,Common
58,Frigibax,Common
59,Arctibax,Uncommon
60,Baxcalibur,Rare
61,Chien-Pao ex,Double Rare
62,Pikachu,Common
63,Pikachu ex,Double Rare
64,Raichu,Uncommon
65,Magnemite,Common
66,Voltorb,Common
67,Electrode,Uncommon
68,Shinx,Common
69,Shinx,Common
70,Luxio,Uncommon
71,Luxray,Rare
72,Pincurchin,Common
73,Pincurchin,Uncommon
74,Pawmi,Common
75,Pawmo,Uncommon
76,Pawmot,Rare
77,Tadbulb,Common
78,Tadbulb,Common
79,Bellibolt ex,Double Rare
80,Wattrel,Common
81,Wattrel,Common
82,Kilowattrel,Uncommon
83,Jigglypuff,Common
84,Wigglytuff,Rare
85,Slowpoke,Common
86,Slowking ex,Double Rare
87,Misdreavus,Common
88,Mismagius,Uncommon
89,Spiritomb,Rare
90,Gothita,Common
91,Gothorita,Uncommon
92,Gothitelle,Uncommon
93,Dedenne ex,Double Rare
94,Oranguru,Uncommon
95,Sandygast,Common
96,Palossand,Uncommon
97,Mimikyu,Rare
98,Ceruledge,Rare
99,Rabsca,Rare
100,Tinkatink,Common
101,Tinkatink,Common
102,Tinkatink,Common
103,Tinkatuff,Uncommon
104,Tinkatuff,Uncommon
105,Tinkaton,Rare
106,Mankey,Common
107,Primeape,Uncommon
108,Paldean Tauros,Uncommon
109,Sudowoodo,Uncommon
110,Larvitar,Common
111,Pupitar,Uncommon
112,Makuhita,Common
113,Hariyama,Rare
114,Croagunk,Common
115,Toxicroak,Uncommon
116,Rockruff,Common
117,Lycanroc ex,Double Rare
118,Passimian,Uncommon
119,Falinks,Common
120,Nacli,Common
121,Nacli,Common
122,Naclstack,Uncommon
123,Garganacl,Rare
124,Glimmet,Common
125,Glimmet,Common
126,Glimmora,Rare
127,Ting-Lu ex,Double Rare
128,Paldean Wooper,Common
129,Paldean Wooper,Common
130,Paldean Clodsire ex,Double Rare
131,Murkrow,Common
132,Honchkrow,Uncommon
133,Sneasel,Common
134,Weavile,Rare
135,Tyranitar,Rare
136,Sableye,Rare
137,Seviper,Uncommon
138,Deino,Common
139,Zweilous,Uncommon
140,Hydreigon,Rare
141,Maschiff,Common
142,Maschiff,Common
143,Mabosstiff,Uncommon
144,Shroodle,Common
145,Shroodle,Common
146,Grafaiai,Uncommon
147,Bombirdier,Uncommon
148,Corviknight,Uncommon
149,Cufant,Common
150,Copperajah ex,Double Rare
151,Orthworm,Rare
152,Noibat,Common
153,Noivern ex,Double Rare
154,Girafarig,Common
155,Farigiraf,Uncommon
156,Dunsparce,Common
157,Dudunsparce,Uncommon
158,Wingull,Common
159,Pelipper,Uncommon
160,Slakoth,Common
161,Vigoroth,Uncommon
162,Slaking,Rare
163,Fletchling,Common
164,Rookidee,Common
165,Corvisquire,Uncommon
166,Tandemaus,Common
167,Tandemaus,Common
168,Maushold,Uncommon
169,Squawkabilly ex,Double Rare
170,Flamigo,Uncommon
171,Artazon,Uncommon
172,Boss's Orders [Ghetsis],Rare
173,Bravery Charm,Uncommon
174,Calamitous Snowy Mountain,Uncommon
175,Calamitous Wasteland,Uncommon
176,Choice Belt,Uncommon
177,Clavell,Common
178,Delivery Drone,Uncommon
179,Dendra,Uncommon
180,Falkner,Uncommon
181,Fighting Au Lait,Uncommon
182,Giacomo,Uncommon
183,Great Ball,Common
184,Grusha,Uncommon
185,Iono,Uncommon
186,Practice Studio,Uncommon
187,Saguaro,Uncommon
188,Super Rod,Common
189,Superior Energy Retrieval,Uncommon
190,Jet Energy,Uncommon
191,Luminous Energy,Uncommon
192,Reversal Energy,Uncommon
193,Therapeutic Energy,Uncommon
194,Heracross,Illustration Rare
195,Tropius,Illustration Rare
196,Sprigatito,Illustration Rare
197,Floragato,Illustration Rare
198,Bramblin,Illustration Rare
199,Fletchinder,Illustration Rare
200,Pyroar,Illustration Rare
201,Fuecoco,Illustration Rare
202,Crocalor,Illustration Rare
203,Magikarp,Illustration Rare
204,Marill,Illustration Rare
205,Eiscue,Illustration Rare
206,Quaxly,Illustration Rare
207,Quaxwell,Illustration Rare
208,Frigibax,Illustration Rare
209,Arctibax,Illustration Rare
210,Baxcalibur,Illustration Rare
211,Raichu,Illustration Rare
212,Mismagius,Illustration Rare
213,Gothorita,Illustration Rare
214,Sandygast,Illustration Rare
215,Rabsca,Illustration Rare
216,Tinkatink,Illustration Rare
217,Tinkatuff,Illustration Rare
218,Paldean Tauros,Illustration Rare
219,Sudowoodo,Illustration Rare
220,Nacli,Illustration Rare
221,Paldean Wooper,Illustration Rare
222,Tyranitar,Illustration Rare
223,Grafaiai,Illustration Rare
224,Orthworm,Illustration Rare
225,Rookidee,Illustration Rare
226,Maushold,Illustration Rare
227,Flamigo,Illustration Rare
228,Farigiraf,Illustration Rare
229,Dudunsparce,Illustration Rare
230,Forretress ex,Ultra Rare
231,Meowscarada ex,Ultra Rare
232,Wo-Chien ex,Ultra Rare
233,Skeledirge ex,Ultra Rare
234,Chi-Yu ex,Ultra Rare
235,Quaquaval ex,Ultra Rare
236,Chien-Pao ex,Ultra Rare
237,Bellibolt ex,Ultra Rare
238,Slowking ex,Ultra Rare
239,Dedenne ex,Ultra Rare
240,Tinkaton ex,Ultra Rare
241,Lycanroc ex,Ultra Rare
