No.,Card name,Rarity
1,Bulbasaur,Common
2,Ivysaur,Uncommon
3,Venusaur ex,Double Rare
4,Charmander,Common
5,Charmeleon,Uncommon
6,Charizard ex,Double Rare
7,Squirtle,Common
8,Wartortle,Uncommon
9,Blastoise ex,Double Rare
10,Caterpie,Common
11,Metapod,Common
12,Butterfree,Uncommon
13,Weedle,Common
14,Kakuna,Common
15,Beedrill,Rare
16,Pidgey,Common
17,Pidgeotto,Common
18,Pidgeot,Uncommon
19,Rattata,Common
20,Raticate,Uncommon
21,Spearow,Common
22,Fearow,Uncommon
23,Ekans,Common
24,Arbok ex,Double Rare
25,Pikachu,Common
26,Raichu,Rare
27,Sandshrew,Common
28,Sandslash,Uncommon
29,Nidoran♀,Common
30,Nidorina,Uncommon
31,Nidoqueen,Uncommon
32,Nidoran♂,Common
33,Nidorino,Uncommon
34,Nidoking,Rare
35,Clefairy,Common
36,Clefable,Uncommon
37,Vulpix,Common
38,Ninetales ex,Double Rare
39,Jigglypuff,Common
40,Wigglytuff ex,Double Rare
41,Zubat,Common
42,Golbat,Uncommon
43,Oddish,Common
44,Gloom,Uncommon
45,Vileplume,Rare
46,Paras,Common
47,Parasect,Uncommon
48,Venonat,Common
49,Venomoth,Uncommon
50,Diglett,Common
51,Dugtrio,Uncommon
52,Meowth,Common
53,Persian,Uncommon
54,Psyduck,Common
55,Golduck,Uncommon
56,Mankey,Common
57,Primeape,Uncommon
58,Growlithe,Common
59,Arcanine,Uncommon
60,Poliwag,Common
61,Poliwhirl,Common
62,Poliwrath,Uncommon
63,Abra,Common
64,Kadabra,Uncommon
65,Alakazam ex,Double Rare
66,Machop,Common
67,Machoke,Uncommon
68,Machamp,Rare
69,Bellsprout,Common
70,Weepinbell,Common
71,Victreebel,Uncommon
72,Tentacool,Common
73,Tentacruel,Uncommon
74,Geodude,Common
75,Graveler,Uncommon
76,Golem ex,Double Rare
77,Ponyta,Common
78,Rapidash,Uncommon
79,Slowpoke,Common
80,Slowbro,Uncommon
81,Magnemite,Common
82,Magneton,Uncommon
83,Farfetch'd,Common
84,Doduo,Common
85,Dodrio,Rare
86,Seel,Common
87,Dewgong,Uncommon
88,Grimer,Common
89,Muk,Uncommon
90,Shellder,Common
91,Cloyster,Uncommon
92,Gastly,Common
93,Haunter,Uncommon
94,Gengar,Rare
95,Onix,Uncommon
96,Drowzee,Common
97,Hypno,Uncommon
98,Krabby,Common
99,Kingler,Uncommon
100,Voltorb,Common
101,Electrode,Rare
102,Exeggcute,Common
103,Exeggutor,Uncommon
104,Cubone,Common
105,Marowak,Rare
106,Hitmonlee,Uncommon
107,Hitmonchan,Uncommon
108,Lickitung,Common
109,Koffing,Common
110,Weezing,Rare
111,Rhyhorn,Common
112,Rhydon,Uncommon
113,Chansey,Rare
114,Tangela,Common
115,Kangaskhan ex,Double Rare
116,Horsea,Common
117,Seadra,Uncommon
118,Goldeen,Common
119,Seaking,Uncommon
120,Staryu,Common
121,Starmie,Rare
122,Mr. Mime,Rare
123,Scyther,Uncommon
124,Jynx ex,Double Rare
125,Electabuzz,Common
126,Magmar,Common
127,Pinsir,Uncommon
128,Tauros,Uncommon
129,Magikarp,Common
130,Gyarados,Rare
131,Lapras,Uncommon
132,Ditto,Rare
133,Eevee,Common
134,Vaporeon,Rare
135,Jolteon,Rare
136,Flareon,Rare
137,Porygon,Common
138,Omanyte,Uncommon
139,Omastar,Rare
140,Kabuto,Uncommon
141,Kabutops,Rare
142,Aerodactyl,Rare
143,Snorlax,Uncommon
144,Articuno,Rare
145,Zapdos ex,Double Rare
146,Moltres,Rare
147,Dratini,Common
148,Dragonair,Uncommon
149,Dragonite,Rare
150,Mewtwo,Rare
151,Mew ex,Double Rare
152,Antique Dome Fossil,Common
153,Antique Helix Fossil,Common
154,Antique Old Amber,Common
155,Big Air Balloon,Uncommon
156,Bill's Transfer,Uncommon
157,Cycling Road,Uncommon
158,Daisy's Help,Uncommon
159,Energy Sticker,Uncommon
160,Erika's Invitation,Uncommon
161,Giovanni's Charisma,Uncommon
162,Grabber,Uncommon
163,Leftovers,Uncommon
164,Protective Goggles,Uncommon
165,Rigid Band,Uncommon
166,Bulbasaur,Illustration Rare
167,Ivysaur,Illustration Rare
168,Charmander,Illustration Rare
169,Charmeleon,Illustration Rare
170,Squirtle,Illustration Rare
171,Wartortle,Illustration Rare
172,Caterpie,Illustration Rare
173,Pikachu,Illustration Rare
174,Nidoking,Illustration Rare
175,Psyduck,Illustration Rare
176,Poliwhirl,Illustration Rare
177,Machoke,Illustration Rare
178,Tangela,Illustration Rare
179,Mr. Mime,Illustration Rare
180,Omanyte,Illustration Rare
181,Dragonair,Illustration Rare
182,Venusaur ex,Ultra Rare
183,Charizard ex,Ultra Rare
184,Blastoise ex,Ultra Rare
185,Arbok ex,Ultra Rare
186,Ninetales ex,Ultra Rare
187,Wigglytuff ex,Ultra Rare
188,Alakazam ex,Ultra Rare
189,Golem ex,Ultra Rare
190,Kangaskhan ex,Ultra Rare
191,Jynx ex,Ultra Rare
192,Zapdos ex,Ultra Rare
193,Mew ex,Ultra Rare
194,Bill's Transfer,Ultra Rare
195,Daisy's Help,Ultra Rare
196,Erika's Invitation,Ultra Rare
197,Giovanni's Charisma,Ultra Rare
198,Venusaur ex,Special Illustration Rare
199,Charizard ex,Special Illustration Rare
200,Blastoise ex,Special Illustration Rare
201,Alakazam ex,Special Illustration Rare
202,Zapdos ex,Special Illustration Rare
203,Erika's Invitation,Special Illustration Rare
204,Giovanni's Charisma,Special Illustration Rare
205,Mew ex,Hyper Rare
206,Switch,Hyper Rare
207,Basic Psychic Energy,Hyper Rare
