No.,Card name,Rarity
1,Pineco,Common
2,Forretress ex,Double Rare
3,Maractus,Common
4,Toedscool,Common
5,Toedscruel ex,Double Rare
6,Espathra ex,Double Rare
7,Charmander,Common
8,Charmeleon,Uncommon
9,Magmar,Common
10,Magmortar,Rare
11,Numel,Common
12,Camerupt,Uncommon
13,Heat Rotom,Rare
14,Charcadet,Common
15,Armarouge,Rare
16,Lapras,Common
17,Frigibax,Common
18,Pikachu,Common
19,Raichu,Rare
20,Chinchou,Common
21,Lanturn,Uncommon
22,Kilowattrel,Uncommon
23,Exeggcute,Common
24,Exeggutor,Rare
25,Natu,Common
26,Xatu,Rare
27,Ralts,Common
28,Kirlia,Common
29,Gardevoir ex,Double Rare
30,Chimecho,Common
31,Mime Jr.,Common
32,Woobat,Common
33,Swoobat,Uncommon
34,Cottonee,Common
35,Whimsicott,Uncommon
36,Dedenne,Common
37,Mimikyu,Rare
38,Fidough,Common
39,Dachsbun,Uncommon
40,Ceruledge,Rare
41,Flittle,Common
42,Greavard,Common
43,Houndstone,Rare
44,Gimmighoul,Common
45,Mankey,Common
46,Primeape,Uncommon
47,Annihilape,Rare
48,Phanpy,Common
49,Donphan,Uncommon
50,Barboach,Common
51,Clobbopus,Common
52,Grapploct,Uncommon
53,Great Tusk ex,Double Rare
54,Charizard ex,Double Rare
55,Gastly,Common
56,Haunter,Common
57,Gengar,Uncommon
58,Paldean Wooper,Common
59,Paldean Clodsire ex,Double Rare
60,Scraggy,Common
61,Scrafty,Uncommon
62,Maschiff,Common
63,Mabosstiff,Rare
64,Varoom,Common
65,Revavroom,Rare
66,Iron Treads ex,Double Rare
67,Gholdengo,Rare
68,Noibat,Common
69,Noivern ex,Double Rare
70,Cyclizar,Rare
71,Lechonk,Common
72,Oinkologne,Uncommon
73,Tandemaus,Common
74,Maushold,Uncommon
75,Squawkabilly ex,Double Rare
76,Artazon,Uncommon
77,Atticus,Uncommon
78,Clive,Uncommon
79,Electric Generator,Uncommon
80,Iono,Uncommon
81,Moonlit Hill,Uncommon
82,Nemona,Common
83,Nemona's Backpack,Uncommon
84,Nest Ball,Uncommon
85,Paldean Student,Common
86,Paldean Student,Common
87,Professor's Research [Professor Sada],Rare
88,Professor's Research [Professor Turo],Rare
89,Rare Candy,Common
90,Technical Machine: Crisis Punch,Uncommon
91,Ultra Ball,Uncommon
92,Oddish,Shiny Rare
93,Gloom,Shiny Rare
94,Vileplume,Shiny Rare
95,Scyther,Shiny Rare
96,Hoppip,Shiny Rare
97,Skiploom,Shiny Rare
98,Jumpluff,Shiny Rare
99,Pineco,Shiny Rare
