No.,Card name,Rarity
1,Scyther,Common
2,Pineco,Common
3,Seedot,Common
4,Nuzleaf,Common
5,Shiftry,Uncommon
6,Shroomish,Common
7,Breloom,Common
8,Roselia,Common
9,Roserade,Uncommon
10,Turtwig,Common
11,Grotle,Common
12,Torterra ex,Double Rare
13,Shaymin,Uncommon
14,Cottonee,Common
15,Whimsicott,Rare
16,Deerling,Common
17,Sawsbuck,Uncommon
18,Grubbin,Common
19,Dhelmise,Uncommon
20,Bramblin,Common
21,Brambleghast,Rare
22,Scovillain ex,Double Rare
23,Rellor,Common
24,Rabsca,Uncommon
25,Iron Leaves ex,Double Rare
26,Ponyta,Common
27,Rapidash,Uncommon
28,Slugma,Common
29,Magcargo,Rare
30,Victini,Common
31,Heatmor,Common
32,Litten,Common
33,Torracat,Common
34,Incineroar ex,Double Rare
35,Turtonator,Common
36,Sizzlipede,Common
37,Centiskorch,Uncommon
38,Gouging Fire ex,Double Rare
39,Totodile,Common
40,Croconaw,Common
41,Feraligatr,Rare
42,Carvanha,Common
43,Sharpedo,Uncommon
44,Keldeo,Uncommon
45,Snom,Common
46,Frosmoth,Common
47,Wiglett,Common
48,Finizen,Common
49,Palafin,Uncommon
50,Walking Wake ex,Double Rare
51,Pikachu,Common
52,Raichu,Common
53,Electabuzz,Common
54,Electivire,Uncommon
55,Charjabug,Common
56,Vikavolt,Uncommon
57,Zeraora,Uncommon
58,Yamper,Common
59,Boltund,Uncommon
60,Wugtrio ex,Double Rare
61,Iron Hands,Uncommon
62,Iron Thorns,Rare
63,Mr. Mime,Common
64,Marill,Common
65,Azumarill,Common
66,Girafarig,Common
67,Latias,Uncommon
68,Bronzor,Common
69,Bronzong,Uncommon
70,Solosis,Common
71,Duosion,Common
72,Reuniclus,Uncommon
73,Elgyem,Common
74,Beheeyem,Uncommon
75,Cutiefly,Common
76,Ribombee,Uncommon
77,Scream Tail,Uncommon
78,Flutter Mane,Rare
79,Iron Valiant,Uncommon
80,Iron Valiant,Rare
81,Iron Crown ex,Double Rare
82,Meditite,Common
83,Medicham,Common
84,Relicanth,Rare
85,Drilbur,Common
86,Excadrill,Uncommon
87,Golett,Common
88,Golurk,Uncommon
89,Rockruff,Common
90,Lycanroc,Uncommon
91,Mudbray,Common
92,Mudsdale,Uncommon
93,Rolycoly,Common
94,Carkol,Common
95,Coalossal,Uncommon
96,Great Tusk,Uncommon
97,Great Tusk,Uncommon
98,Sandy Shocks,Uncommon
99,Iron Boulder ex,Double Rare
100,Ekans,Common
101,Arbok,Common
102,Gastly,Common
103,Haunter,Common
104,Gengar ex,Double Rare
105,Poochyena,Common
106,Mightyena,Common
107,Sableye,Uncommon
108,Farigiraf ex,Double Rare
109,Roaring Moon,Rare
110,Forretress,Uncommon
111,Scizor ex,Double Rare
112,Mawile,Common
113,Beldum,Common
114,Metang,Common
115,Metagross,Uncommon
116,Meltan,Common
117,Melmetal,Rare
118,Iron Treads,Uncommon
119,Koraidon,Rare
120,Koraidon ex,Double Rare
121,Miraidon,Rare
122,Miraidon ex,Double Rare
123,Raging Bolt ex,Double Rare
124,Lickitung,Common
125,Lickilicky,Common
126,Hoothoot,Common
127,Noctowl,Common
128,Dunsparce,Common
129,Dudunsparce,Rare
130,Skitty,Common
131,Delcatty,Uncommon
132,Chatot,Common
133,Pidove,Common
134,Tranquill,Common
135,Unfezant,Uncommon
136,Minccino,Common
137,Cinccino,Uncommon
138,Drampa,Rare
139,Iron Jugulis,Uncommon
140,Ancient Booster Energy Capsule,Uncommon
141,Awakening Drum,ACE SPEC Rare
142,Bianca's Devotion,Uncommon
143,Boxed Order,Uncommon
144,Buddy-Buddy Poffin,Uncommon
145,Ciphermaniac's Codebreaking,Uncommon
146,Eri,Uncommon
147,Explorer's Guidance,Uncommon
148,Full Metal Lab,Uncommon
149,Future Booster Energy Capsule,Uncommon
150,Hand Trimmer,Uncommon
151,Heavy Baton,Uncommon
152,Hero's Cape,ACE SPEC Rare
153,Master Ball,ACE SPEC Rare
154,Maximum Belt,ACE SPEC Rare
155,Morty's Conviction,Uncommon
156,Perilous Jungle,Uncommon
157,Prime Catcher,ACE SPEC Rare
158,Reboot Pod,ACE SPEC Rare
159,Rescue Board,Uncommon
160,Salvatore,Uncommon
161,Mist Energy,Uncommon
162,Neo Upper Energy,ACE SPEC Rare
163,Shiftry,Illustration Rare
164,Grotle,Illustration Rare
165,Deerling,Illustration Rare
166,Sawsbuck,Illustration Rare
167,Litten,Illustration Rare
168,Snom,Illustration Rare
169,Charjabug,Illustration Rare
170,Bronzor,Illustration Rare
171,Reuniclus,Illustration Rare
172,Cutiefly,Illustration Rare
173,Relicanth,Illustration Rare
174,Excadrill,Illustration Rare
175,Mudsdale,Illustration Rare
176,Arbok,Illustration Rare
177,Gastly,Illustration Rare
178,Metagross,Illustration Rare
179,Meltan,Illustration Rare
180,Lickitung,Illustration Rare
181,Chatot,Illustration Rare
182,Minccino,Illustration Rare
183,Cinccino,Illustration Rare
184,Drampa,Illustration Rare
185,Torterra ex,Ultra Rare
186,Iron Leaves ex,Ultra Rare
187,Incineroar ex,Ultra Rare
188,Gouging Fire ex,Ultra Rare
189,Walking Wake ex,Ultra Rare
190,Wugtrio ex,Ultra Rare
191,Iron Crown ex,Ultra Rare
192,Iron Boulder ex,Ultra Rare
193,Gengar ex,Ultra Rare
194,Farigiraf ex,Ultra Rare
195,Scizor ex,Ultra Rare
196,Raging Bolt ex,Ultra Rare
